 ;;;;Digi-key;;;;
Part;Type;Value;Package;Digi-key part #;MFG;MPN;LINK;
R4;Resistor;100K 5% 1/8W;0805;301010396;YAGEO;RC0805FR-07100KL;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=301; 
R5;Resistor;100K 5% 1/8W;0805;301010396;YAGEO;RC0805FR-07100KL;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=301; 
C1;Capacitor;2.2uF/25V/X7R;0805;302010148;YAGEO;CC0805KKX7R8BB225;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=179; 
C2;Capacitor;2.2uF/25V/X7R;0805;302010148;YAGEO;CC0805KKX7R8BB225;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=179; 
C3;Capacitor;2.2uF/25V/X7R;0805;302010148;YAGEO;CC0805KKX7R8BB225;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=179; 
SW1;Switch;Slide switch DPDT 1000mA;PTH;n/a;;;; 
X1;Power Jack;2.1mm;PTH;320120003;BEST;DC-005;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=20; 
X2;Connector;JST PH 2P (Pitch: 2mm) vertical;PTH;320110049;ZUANBAO;ZB2001-02;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=552; 
X4;Pin header;1x8P 2.54mm female vertical black;PTH;320030061;YXCON;F185-1108A1BSYC1;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=95; 
X8;Pin header;1x8P 2.54mm female vertical black;PTH;320030061;YXCON;F185-1108A1BSYC1;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=95; 
X9;Pin header;1X10P 2mm female vertical black;PTH;320030009;YXCON;F243-1110A1BSUA1;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=244; 
X10;Pin header;1X10P 2mm female vertical black;PTH;320030009;YXCON;F243-1110A1BSUA1;http://www.seeedstudio.com/depot/index.php?main_page=opl_info&opl_id=244; 
;;;;;;;;
;;;;;;;;
optional (female header for Teensy);;;;;;;;
X3;Pin header;1x5P 2.54mm female vertical black;PTH;n/a;;;;
X5;Pin header;1x14P 2.54mm female vertical black;PTH;n/a;;;;
X6;Pin header;1x14P 2.54mm female vertical black;PTH;n/a;;;;
X7;Pin header;1x5P 2.54mm female vertical black;PTH;n/a;;;;
